text,author,category,image_path
"Жизнь — это то, что происходит, пока вы строите планы.",Джон Леннон,Мотивация,
"Будьте сами собой, остальные роли уже заняты.",Оскар Уайльд,Мотивация,
"Я мыслю, следовательно, существую.",Рене Декарт,Философия,
"Тот, кто может изменить мир, начинается с себя.",Сократ,Философия,
"Две вещи бесконечны: Вселенная и человеческая глупость; и я не уверен насчёт Вселенной.",Альберт Эйнштейн,Юмор,
"Единственный способ делать отличную работу — любить то, что вы делаете.",Стив Джобс,Мотивация,
"Не бойтесь быть медленными; бойтесь стоять на месте.",Китайская пословица,Мудрость,
"Путешествие в тысячу миль начинается с одного шага.",Лао-цзы,Мудрость,
"Будущее принадлежит тем, кто верит в красоту своей мечты.",Элеонора Рузвельт,Вдохновение,
"Самый трудный шаг — первый.",Неизвестный,Мотивация,
